Flight Number,From,To,Aircraft,STD,Optimal_STD,Predicted_Delay,CascadingDelay,TotalPredictedDelay,Runway,FlightType
AI2509,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXU),06:00:00,05:50:53,5.497886430018412,0.0,5.497886430018412,R1,Domestic
AI2509,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTJ),06:00:00,06:12:42,-10.626829241051347,90.30364292752563,79.67681368647428,R2,Domestic
AI2509,Mumbai (BOM),Chandigarh (IXC),A20N (VT-TQB),06:00:00,05:50:53,5.497886430018412,39.50237080636348,45.00025723638189,R3,Domestic
AI2509,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTU),06:00:00,05:05:17,65.44494764200118,27.3882766132786,92.83322425527979,R1,Domestic
AI2509,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXK),06:00:00,06:07:57,-8.83033664300147,0.0,-8.83033664300147,R2,Domestic
AI2509,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXM),05:30:00,05:38:34,-1.6643542876808928,5.087888757438155,3.4235344697572625,R3,Domestic
AI2509,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXL),06:00:00,05:59:26,-0.63322076248734,1.7951630582604203,1.1619422957730803,R1,Domestic
AI2625,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQW),06:00:00,05:53:14,6.6883081702502825,60.33692593439818,67.02523410464846,R2,Domestic
AI2625,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQH),06:00:00,05:55:13,5.853385396145848,0.0,5.853385396145848,R3,Domestic
AI2625,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),06:00:00,05:53:53,7.529442585530451,36.93750185113771,44.466944436668165,R1,Domestic
AI2625,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQF),06:00:00,05:50:16,13.933787441040637,0.0,13.933787441040637,R2,Domestic
AI2625,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TNU),06:00:00,05:53:57,5.63084827979048,0.0,5.63084827979048,R3,Domestic
AI2625,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),06:00:00,06:05:06,-5.302348826719409,53.59288630064025,48.29053747392084,R1,Domestic
AI2625,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQB),06:00:00,05:55:19,4.196919833616237,0.0,4.196919833616237,R2,Domestic
6E762,Mumbai (BOM),Delhi (DEL),A21N (VT-NCB),06:00:00,06:05:57,-7.525253669579633,0.0,-7.525253669579633,R3,Domestic
6E762,Mumbai (BOM),Delhi (DEL),A21N (VT-IWQ),06:00:00,05:55:15,5.324727880105153,0.0,5.324727880105153,R1,Domestic
6E762,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),06:00:00,05:44:43,15.259774176549952,10.882611883814313,26.142386060364267,R2,Domestic
6E762,Mumbai (BOM),Delhi (DEL),A21N (VT-ICF),06:00:00,06:05:57,-7.525253669579633,22.317834925825633,14.792581256245999,R3,Domestic
6E762,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),06:00:00,06:04:49,-6.4371045215724605,0.0,-6.4371045215724605,R1,Domestic
6E762,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),06:00:00,06:16:24,-15.913691724580165,10.326689776618245,-5.5870019479619195,R2,Domestic
6E762,Mumbai (BOM),Delhi (DEL),A21N (VT-NCG),06:00:00,06:10:13,-6.488684561907414,0.0,-6.488684561907414,R3,Domestic
QP1891,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAP),06:05:00,06:05:04,-2.643398022143063,0.0,-2.643398022143063,R1,Domestic
QP1891,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAH),06:05:00,06:05:13,-1.4795885211840252,0.0,-1.4795885211840252,R2,Domestic
QP1891,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAG),06:05:00,06:01:59,1.2664071968597292,13.688316546625412,14.954723743485141,R3,Domestic
QP1891,Mumbai (BOM),Srinagar (SXR),B38M (VT-YBE),06:05:00,06:14:32,-8.265749134630335,18.26804063579325,10.002291501162913,R1,Domestic
QP1891,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAF),06:05:00,06:02:32,1.5235083825250413,0.0,1.5235083825250413,R2,Domestic
QP1891,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAI),06:05:00,06:17:01,-13.240264545834417,0.0,-13.240264545834417,R3,Domestic
QP1891,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAA),06:05:00,06:17:20,-12.863351222966319,21.660874650993833,8.797523428027514,R1,Domestic
6E5352,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),06:05:00,06:36:27,-32.93935036332495,0.0,-32.93935036332495,R2,Domestic
6E5352,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWS),06:05:00,06:24:26,-19.430096565721275,0.0,-19.430096565721275,R3,Domestic
6E5352,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWT),06:05:00,06:17:32,-15.741728769498105,28.059990619488303,12.318261849990199,R1,Domestic
6E5352,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),06:05:00,06:15:05,-15.091040131331793,5.608837559322493,-9.4822025720093,R2,Domestic
6E5352,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCQ),06:05:00,06:36:52,-33.71293988943794,2.0179179263791274,-31.695021963058814,R3,Domestic
6E5352,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCH),06:05:00,06:30:50,-29.272739349316335,89.21063380520792,59.93789445589158,R1,Domestic
6E5352,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCB),06:05:00,06:31:39,-28.1478740211251,101.11891027383518,72.97103625271008,R2,Domestic
6E1185,Mumbai (BOM),Colombo (CMB),A20N (VT-IJZ),06:10:00,05:59:00,12.722647372232146,0.0,12.722647372232146,R3,Domestic
6E1185,Mumbai (BOM),Colombo (CMB),A20N (VT-ITZ),06:10:00,06:10:19,-0.22449885468533948,10.898635799062749,10.674136944377409,R1,Domestic
6E1185,Mumbai (BOM),Colombo (CMB),A20N (VT-IPU),06:10:00,05:14:31,58.075078306611495,3.0833194500751873,61.15839775668668,R2,Domestic
6E1185,Mumbai (BOM),Colombo (CMB),A20N (VT-IIQ),06:10:00,05:47:59,22.597423157325316,34.58252289295985,57.17994605028517,R3,Domestic
6E1185,Mumbai (BOM),Colombo (CMB),A20N (VT-IQI),06:10:00,05:33:01,30.743105353604395,17.40272527756195,48.14583063116635,R1,Domestic
